Entry ID,Date,Year,State,Local Government Area,Cases,Deaths,CFR (%),Population,"Cases/100,000","Deaths/100,000"
NGA17-11-26-1,26 Nov,2017,Kaduna,,4,,,"190,873,311",0.0021,
NGA17-12-3-1,3 Dec,2017,,,8,0,0.000,"190,873,311",0.0042,
NGA17-12-3-1,3 Dec,2017,Anambra,,1,,,"190,873,311",0.0005,
NGA17-12-3-1,3 Dec,2017,Borno,,2,,,"190,873,311",0.0010,
NGA17-12-3-1,3 Dec,2017,Kaduna,,2,,,"190,873,311",0.0010,
NGA17-12-3-1,3 Dec,2017,Kano,,1,,,"190,873,311",0.0005,
NGA17-12-3-1,3 Dec,2017,Zamfara,,2,,,"190,873,311",0.0010,
NGA17-12-10–1,10 Dec,2017,,,11,,,"190,873,311",0.0058,
NGA17-12-10–1,10 Dec,2017,Kano,,10,,,"190,873,311",0.0052,
NGA17-12-10–1,10 Dec,2017,Kaduna,,1,,,"190,873,311",0.0005,
NGA17-12-17-1,17 Dec,2017,,,156,5,3.205,"190,873,311",0.0817,0.0026
NGA17-12-17-1,17 Dec,2017,Kano,,106,,,"190,873,311",0.0555,
NGA17-12-17-1,17 Dec,2017,Zamfara,,59,,,"190,873,311",0.0309,
NGA17-12-20-1,20 Dec,2017,Nasarawa,Toto,,4,,"190,873,311",,0.0021
NGA17-12-24-1,24 Dec,2017,,,172,5,2.907,"190,873,311",0.0901,0.0026
NGA17-12-24-1,24 Dec,2017,Kaduna,,2,,,"190,873,311",0.0010,
NGA17-12-24-1,24 Dec,2017,Kano,,170,,,"190,873,311",0.0891,
NGA17-12-31-1,31 Dec,2017,Kano,,121,9,7.438,"190,873,311",0.0634,0.0047
NGA18-1-1-1,1 Jan,2018,,,"43,996",836,1.900,"195,874,740",22.4613,0.4268
NGA18-1-1-1,1 Jan,2018,Anambra,,23,1,4.348,"195,874,740",0.0117,0.0005
NGA18-1-1-1,1 Jan,2018,Ebonyi,,182,7,3.846,"195,874,740",0.0929,0.0036
NGA18-1-1-1,1 Jan,2018,Adamawa,,"2,748",41,1.492,"195,874,740",1.4029,0.0209
NGA18-1-1-1,1 Jan,2018,Borno,,"7,626",74,0.970,"195,874,740",3.8933,0.0378
NGA18-1-1-1,1 Jan,2018,Bauchi,,"9,405",35,0.372,"195,874,740",4.8015,0.0179
NGA18-1-1-1,1 Jan,2018,Gombe,,552,18,3.261,"195,874,740",0.2818,0.0092
NGA18-1-1-1,1 Jan,2018,Yobe,,"2,275",83,3.648,"195,874,740",1.1615,0.0424
NGA18-1-1-1,1 Jan,2018,Federal Capital Territory ,,221,14,6.335,"195,874,740",0.1128,0.0071
NGA18-1-1-1,1 Jan,2018,Kogi,,102,8,7.843,"195,874,740",0.0521,0.0041
NGA18-1-1-1,1 Jan,2018,Kwara,,10,0,0.000,"195,874,740",0.0051,0.0000
NGA18-1-1-1,1 Jan,2018,Nasarawa,,71,5,7.042,"195,874,740",0.0362,0.0026
NGA18-1-1-1,1 Jan,2018,Niger,,584,29,4.966,"195,874,740",0.2981,0.0148
NGA18-1-1-1,1 Jan,2018,Plateau,,347,6,1.729,"195,874,740",0.1772,0.0031
NGA18-1-1-1,1 Jan,2018,Jigawa,,15,1,6.667,"195,874,740",0.0077,0.0005
NGA18-1-1-1,1 Jan,2018,Kaduna,,401,25,6.234,"195,874,740",0.2047,0.0128
NGA18-1-1-1,1 Jan,2018,Kano,,"1,905",73,3.832,"195,874,740",0.9726,0.0373
NGA18-1-1-1,1 Jan,2018,Katsina,,"7,400",190,2.568,"195,874,740",3.7779,0.0970
NGA18-1-1-1,1 Jan,2018,Kebbi,,198,7,3.535,"195,874,740",0.1011,0.0036
NGA18-1-1-1,1 Jan,2018,Sokoto,,"1,602",84,5.243,"195,874,740",0.8179,0.0429
NGA18-1-1-1,1 Jan,2018,Zamfara,,8329,135,1.621,"195,874,740",4.2522,0.0689
NGA18-1-5-1,5 Jan,2018,,,84,5,5.952,"195,874,740",0.0429,0.0026
NGA18-1-5-1,5 Jan,2018,Bauchi,,9,,,"195,874,740",0.0046,0.0000
NGA18-1-5-1,5 Jan,2018,Borno,,3,,,"195,874,740",0.0015,0.0000
NGA18-1-5-1,5 Jan,2018,Kaduna,,2,,,"195,874,740",0.0010,0.0000
NGA18-1-5-1,5 Jan,2018,Kano,,70,,,"195,874,740",0.0357,0.0000
NGA18-1-12-1,12 Jan,2018,,,40,4,10.000,"195,874,740",0.0204,0.0020
NGA18-1-12-1,12 Jan,2018,Bauchi,,3,,,"195,874,740",0.0015,0.0000
NGA18-1-12-1,12 Jan,2018,Kaduna,,6,,,"195,874,740",0.0031,0.0000
NGA18-1-12-1,12 Jan,2018,Kano,,31,,,"195,874,740",0.0158,0.0000
NGA18-1-12-1,12 Jan,2018,Kano,,25,2,8.000,"195,874,740",0.0128,0.0010
NGA18-1-28-1,28 Jan,2018,,,8,0,0.000,"195,874,740",0.0041,
NGA18-1-28-1,28 Jan,2018,Bauchi,,5,,,"195,874,740",0.0026,
NGA18-1-28-1,28 Jan,2018,Kaduna,,1,,,"195,874,740",0.0005,
NGA18-1-28-1,28 Jan,2018,Zamfara,,2,,,"195,874,740",0.0010,
NGA18-1-28-2,28 Jan,2018,,,15,2,13.333,"195,874,740",0.0077,0.0010
NGA18-1-28-2,28 Jan,2018,Ebonyi,,12,,,"195,874,740",0.0061,
NGA18-1-28-2,28 Jan,2018,Enugu,,3,,,"195,874,740",0.0015,
NGA18-2-11-1,11 Feb,2018,,,12,0,,"195,874,740",0.0061,
NGA18-2-11-1,11 Feb,2018,Kaduna,,5,,,"195,874,740",0.0026,
NGA18-2-11-1,11 Feb,2018,Kano,,5,,,"195,874,740",0.0026,
NGA18-2-11-1,11 Feb,2018,Katsina,,2,,,"195,874,740",0.0010,
NGA18-2-11-1,11 Feb,2018,Kaduna,Kaduna South,3,0,0.000,"195,874,740",0.0015,
NGA18-2-13-1,13 Feb,2018,Borno,Kukawa,502,1,0.199,"195,874,740",0.2563,0.0005
NGA18-2-25-1,25 Feb,2018,,,11,1,9.091,"195,874,740",0.0056,0.0005
NGA18-2-25-1,25 Feb,2018,Kaduna,,4,,,"195,874,740",0.0020,
NGA18-2-25-1,25 Feb,2018,Kano,,4,,,"195,874,740",0.0020,
NGA18-2-25-1,25 Feb,2018,Oyo,,1,,,"195,874,740",0.0005,
NGA18-3-4-1,4 Mar,2018,,,12,2,16.667,"195,874,740",0.0061,0.0010
NGA18-3-4-1,4 Mar,2018,Bauchi,,6,,,"195,874,740",0.0031,
NGA18-3-4-1,4 Mar,2018,Kaduna,,4,,,"195,874,740",0.0020,
NGA18-3-4-1,4 Mar,2018,Kano,,2,,,"195,874,740",0.0010,
NGA18-3-4-2,4 Mar,2018,,,189,4,2.116,"195,874,740",0.0965,0.0020
NGA18-3-4-2,4 Mar,2018,Bauchi,,35,,,"195,874,740",0.0179,
NGA18-3-4-2,4 Mar,2018,Borno,,131,,,"195,874,740",0.0669,
NGA18-3-4-2,4 Mar,2018,Kaduna,,3,,,"195,874,740",0.0015,
NGA18-3-4-2,4 Mar,2018,Kano,,20,,,"195,874,740",0.0102,
NGA18-3-4-2,4 Mar,2018,Borno,Kukawa,600,3,0.500,"195,874,740",0.3063,0.0015
NGA18-3-8-1,8 Mar,2018,Borno,,608,3,0.493,"195,874,740",0.3104,0.0015
NGA18-3-8-1,8 Mar,2018,Borno,Kukawa,323,,,"195,874,740",0.1649,
NGA18-3-8-1,8 Mar,2018,Borno,Kukawa,229,3,1.310,"195,874,740",0.1169,0.0015
NGA18-3-8-1,8 Mar,2018,Borno,Kukawa,56,,,"195,874,740",0.0286,
NGA18-3-18-1,18 Mar,2018,,,175,5,2.857,"195,874,740",0.0893,0.0026
NGA18-3-18-1,18 Mar,2018,Bauchi,,112,,,"195,874,740",0.0572,
NGA18-3-18-1,18 Mar,2018,Borno,,40,,,"195,874,740",0.0204,
NGA18-3-18-1,18 Mar,2018,Ebonyi,,21,,,"195,874,740",0.0107,
NGA18-3-18-1,18 Mar,2018,Kaduna,,2,,,"195,874,740",0.0010,
NGA18-3-25-1,25 Mar,2018,,,351,5,1.425,"195,874,740",0.1792,0.0026
NGA18-3-25-1,25 Mar,2018,Abia,,13,,,"195,874,740",0.0066,
NGA18-3-25-1,25 Mar,2018,Bauchi,,289,,,"195,874,740",0.1475,
NGA18-3-25-1,25 Mar,2018,Borno,,21,,,"195,874,740",0.0107,
NGA18-3-25-1,25 Mar,2018,Ebonyi,,9,,,"195,874,740",0.0046,
NGA18-3-25-1,25 Mar,2018,Kaduna,,3,,,"195,874,740",0.0015,
NGA18-3-25-1,25 Mar,2018,Kano,,15,,,"195,874,740",0.0077,
NGA18-3-25-1,25 Mar,2018,Kwara,,1,,,"195,874,740",0.0005,
NGA18-4-1-1,1 Apr,2018,,,337,8,2.374,"195,874,740",0.1720,0.0041
NGA18-4-1-1,1 Apr,2018,Abia,,19,,,"195,874,740",0.0097,
NGA18-4-1-1,1 Apr,2018,Bauchi,,181,,,"195,874,740",0.0924,
NGA18-4-1-1,1 Apr,2018,Borno,,11,,,"195,874,740",0.0056,
NGA18-4-1-1,1 Apr,2018,Gombe,,2,,,"195,874,740",0.0010,
NGA18-4-1-1,1 Apr,2018,Kaduna,,3,,,"195,874,740",0.0015,
NGA18-4-1-1,1 Apr,2018,Kano,,15,,,"195,874,740",0.0077,
NGA18-4-1-1,1 Apr,2018,Yobe,,106,,,"195,874,740",0.0541,
NGA18-4-8-1,8 Apr,2018,,,602,9,1.495,"195,874,740",0.3073,0.0046
NGA18-4-8-1,8 Apr,2018,Abia,,8,,,"195,874,740",0.0041,
NGA18-4-8-1,8 Apr,2018,Anambra,,20,,,"195,874,740",0.0102,
NGA18-4-8-1,8 Apr,2018,Bauchi,,420,,,"195,874,740",0.2144,
NGA18-4-8-1,8 Apr,2018,Borno,,2,,,"195,874,740",0.0010,
NGA18-4-8-1,8 Apr,2018,Federal Capital Territory ,,1,,,"195,874,740",0.0005,
NGA18-4-8-1,8 Apr,2018,Kaduna,,1,,,"195,874,740",0.0005,
NGA18-4-8-1,8 Apr,2018,Nasarawa,,8,,,"195,874,740",0.0041,
NGA18-4-8-1,8 Apr,2018,Yobe,,136,,,"195,874,740",0.0694,
NGA18-4-8-1,8 Apr,2018,Zamfara,,6,,,"195,874,740",0.0031,
NGA18-4-15-1,15 Apr,2018,,,615,3,0.488,"195,874,740",0.3140,0.0015
NGA18-4-15-1,15 Apr,2018,Abia,,,,,,,
NGA18-4-15-1,15 Apr,2018,Bauchi,,,,,,,
NGA18-4-15-1,15 Apr,2018,Borno,,,,,,,
NGA18-4-15-1,15 Apr,2018,Ekiti,,,,,,,
NGA18-4-15-1,15 Apr,2018,Kaduna,,,,,,,
NGA18-4-15-1,15 Apr,2018,Kano,,,,,,,
NGA18-4-15-1,15 Apr,2018,Yobe,,,,,,,
NGA18-4-15-1,15 Apr,2018,Zamfara,,,,,,,
NGA18-4-22-1,22 Apr,2018,,,599,3,0.501,"195,874,740",0.3058,0.0015
NGA18-4-22-1,22 Apr,2018,Bauchi,,523,,,"195,874,740",0.2670,
NGA18-4-22-1,22 Apr,2018,Bayelsa,,1,,,"195,874,740",0.0005,
NGA18-4-22-1,22 Apr,2018,Borno,,8,,,"195,874,740",0.0041,
NGA18-4-22-1,22 Apr,2018,Kaduna,,6,,,"195,874,740",0.0031,
NGA18-4-22-1,22 Apr,2018,Kano,,38,,,"195,874,740",0.0194,
NGA18-4-22-1,22 Apr,2018,Yobe,,20,,,"195,874,740",0.0102,
NGA18-4-22-1,22 Apr,2018,Zamfara,,3,,,"195,874,740",0.0015,
NGA18-4-29-1,29 Apr,2018,,,527,4,0.759,"195,874,740",0.2690,0.0020
NGA18-4-29-1,29 Apr,2018,Bauchi,,371,,,"195,874,740",0.1894,
NGA18-4-29-1,29 Apr,2018,Borno,,9,,,"195,874,740",0.0046,
NGA18-4-29-1,29 Apr,2018,Ebonyi,,128,,,"195,874,740",0.0653,
NGA18-4-29-1,29 Apr,2018,Kaduna,,1,,,"195,874,740",0.0005,
NGA18-4-29-1,29 Apr,2018,Yobe,,15,,,"195,874,740",0.0077,
NGA18-4-29-1,29 Apr,2018,Zamfara,,3,,,"195,874,740",0.0015,
NGA18-4-29-2,29 Apr,2018,,,297,2,0.673,"195,874,740",0.1516,0.0010
NGA18-4-29-2,29 Apr,2018,Bauchi,,218,,,"195,874,740",0.1113,
NGA18-4-29-2,29 Apr,2018,Borno,,36,,,"195,874,740",0.0184,
NGA18-4-29-2,29 Apr,2018,Ebonyi,,1,,,"195,874,740",0.0005,
NGA18-4-29-2,29 Apr,2018,Federal Capital Territory ,,34,,,"195,874,740",0.0174,
NGA18-4-29-2,29 Apr,2018,Kaduna,,2,,,"195,874,740",0.0010,
NGA18-4-29-2,29 Apr,2018,Kano,,6,,,"195,874,740",0.0031,
NGA18-5-6-1,6 May,2018,,,733,0,0.000,"195,874,740",0.3742,
NGA18-5-6-1,6 May,2018,Abia,,2,,,"195,874,740",0.0010,
NGA18-5-6-1,6 May,2018,Bauchi,,695,,,"195,874,740",0.3548,
NGA18-5-6-1,6 May,2018,Borno,,29,,,"195,874,740",0.0148,
NGA18-5-6-1,6 May,2018,Federal Capital Territory ,,16,,,"195,874,740",0.0082,
NGA18-5-12-1,12 May,2018,Adamawa,,"1,500",25,1.667,"195,874,740",0.7658,0.0128
NGA18-5-20-1,20 May,2018,,,190,17,8.947,"195,874,740",0.0970,0.0087
NGA18-5-20-1,20 May,2018,Adamawa,,100,,,"195,874,740",0.0511,
NGA18-5-20-1,20 May,2018,Bauchi,,22,,,"195,874,740",0.0112,
NGA18-5-20-1,20 May,2018,Borno,,20,,,"195,874,740",0.0102,
NGA18-5-20-1,20 May,2018,,Kukawa,19,,,"195,874,740",0.0097,
NGA18-5-20-1,20 May,2018,Federal Capital Territory ,,1,,,"195,874,740",0.0005,
NGA18-5-20-1,20 May,2018,Kaduna,,2,,,"195,874,740",0.0010,
NGA18-5-20-1,20 May,2018,Kano,,44,,,"195,874,740",0.0225,
NGA18-5-20-1,20 May,2018,Zamfara,,1,,,"195,874,740",0.0005,
NGA18-5-20-1,20 May,2018,Adamawa,Mubi North,143,12,8.392,"195,874,740",0.0730,0.0061
NGA18-5-20-1,20 May,2018,Yobe,,"3,000",50,1.667,"195,874,740",1.5316,0.0255
NGA18-5-21-1,21 May,2018,Yobe,,404,15,3.713,"195,874,740",0.2063,0.0077
NGA18-5-21-1,21 May,2018,Yobe,Bade,379,15,3.958,"195,874,740",0.1935,0.0077
NGA18-5-21-1,21 May,2018,Yobe,Karasuwa,16,,,"195,874,740",0.0082,
NGA18-5-21-1,21 May,2018,Yobe,Kalusko,4,,,"195,874,740",0.0020,
NGA18-5-21-1,21 May,2018,Yobe,Yusufari,3,,,"195,874,740",0.0015,
NGA18-5-21-1,21 May,2018,Yobe,Bursari,2,,,"195,874,740",0.0010,
NGA18-5-27-1,27 May,2018,,,832,8,0.962,"195,874,740",0.4248,0.0041
NGA18-5-27-1,27 May,2018,Adamawa,,382,,,"195,874,740",0.1950,
NGA18-5-27-1,27 May,2018,Bauchi,,324,,,"195,874,740",0.1654,
NGA18-5-27-1,27 May,2018,Borno ,,20,,,"195,874,740",0.0102,
NGA18-5-27-1,27 May,2018,Kano,,22,,,"195,874,740",0.0112,
NGA18-5-27-1,27 May,2018,Plateau,,72,,,"195,874,740",0.0368,
NGA18-5-27-1,27 May,2018,Zamfara,,12,,,"195,874,740",0.0061,
NGA18-5-27-2,27 May,2018,Adamawa,,482,13,2.697,"195,874,740",0.2461,0.0066
NGA18-5-27-2,27 May,2018,Adamawa,Mubi South ,247,6,2.429,"195,874,740",0.1261,0.0031
NGA18-5-27-2,27 May,2018,Adamawa,Mubi North,235,7,2.979,"195,874,740",0.1200,0.0036
NGA18-6-3-1,3 Jun,2018,,,910,6,0.659,"195,874,740",0.4646,0.0031
NGA18-6-3-1,3 Jun,2018,Adamawa,,423,,,"195,874,740",0.2160,
NGA18-6-3-1,3 Jun,2018,Bauchi,,344,,,"195,874,740",0.1756,
NGA18-6-3-1,3 Jun,2018,Borno,,20,,,"195,874,740",0.0102,
NGA18-6-3-1,3 Jun,2018,Kano,,11,,,"195,874,740",0.0056,
NGA18-6-3-1,3 Jun,2018,Plateau,,37,,,"195,874,740",0.0189,
NGA18-6-3-1,3 Jun,2018,Zamfara,,75,,,"195,874,740",0.0383,
NGA18-6-3-2,3 Jun,2018,Borno,,808,3,0.371,"195,874,740",0.4125,0.0015
NGA18-6-3-2,3 Jun,2018,Borno,Kukawa,769,,,"195,874,740",0.3926,
NGA18-6-3-2,3 Jun,2018,Borno,Banki,31,,,"195,874,740",0.0158,
NGA18-6-3-2,3 Jun,2018,Borno,El-minskin,6,,,"195,874,740",0.0031,
NGA18-6-3-2,3 Jun,2018,Borno,Damboa,2,,,"195,874,740",0.0010,
NGA18-6-7-1,7 Jun,2018,Plateau,,93,3,3.226,"195,874,740",0.0475,0.0015
NGA18-6-10-1,10 Jun,2018,,,800,7,0.875,"195,874,740",0.4084,0.0036
NGA18-6-10-1,10 Jun,2018,Adamawa,,101,,,"195,874,740",0.0516,
NGA18-6-10-1,10 Jun,2018,Bauchi,,268,,,"195,874,740",0.1368,
NGA18-6-10-1,10 Jun,2018,Borno,,7,,,"195,874,740",0.0036,
NGA18-6-10-1,10 Jun,2018,Kano,,42,,,"195,874,740",0.0214,
NGA18-6-10-1,10 Jun,2018,Plateau,,131,,,"195,874,740",0.0669,
NGA18-6-10-1,10 Jun,2018,Zamfara,,251,,,"195,874,740",0.1281,
NGA18-6-10-1,10 Jun,2018,Adamawa,,"1,227",20,1.630,"195,874,740",0.6264,0.0102
NGA18-6-10-1,10 Jun,2018,Adamawa,Mubi South ,693,9,1.299,"195,874,740",0.3538,0.0046
NGA18-6-10-1,10 Jun,2018,Adamawa,Mubi North,526,11,2.091,"195,874,740",0.2685,0.0056
NGA18-6-10-1,10 Jun,2018,Adamawa,Hong,5,,,"195,874,740",0.0026,
NGA18-6-10-1,10 Jun,2018,Adamawa,Maiha,3,,,"195,874,740",0.0015,
NGA18-6-17-1,17 Jun,2018,,,725,9,1.241,"195,874,740",0.3701,0.0046
NGA18-6-17-1,17 Jun,2018,Adamawa,,80,,,"195,874,740",0.0408,
NGA18-6-17-1,17 Jun,2018,Bauchi,,323,,,"195,874,740",0.1649,
NGA18-6-17-1,17 Jun,2018,Borno,,2,,,"195,874,740",0.0010,
NGA18-6-17-1,17 Jun,2018,Kaduna,,1,,,"195,874,740",0.0005,
NGA18-6-17-1,17 Jun,2018,Kano,,42,,,"195,874,740",0.0214,
NGA18-6-17-1,17 Jun,2018,Kogi,,20,,,"195,874,740",0.0102,
NGA18-6-17-1,17 Jun,2018,Plateau,,19,,,"195,874,740",0.0097,
NGA18-6-17-1,17 Jun,2018,Zamfara,,238,,,"195,874,740",0.1215,
NGA18-6-24-1,24 Jun,2018,,,828,9,1.087,"195,874,740",0.4227,0.0046
NGA18-6-24-1,24 Jun,2018,Adamawa,,29,,,"195,874,740",0.0148,
NGA18-6-24-1,24 Jun,2018,Bauchi,,183,,,"195,874,740",0.0934,
NGA18-6-24-1,24 Jun,2018,Borno,,27,,,"195,874,740",0.0138,
NGA18-6-24-1,24 Jun,2018,Federal Capital Territory ,,2,,,"195,874,740",0.0010,
NGA18-6-24-1,24 Jun,2018,Gombe,,41,,,"195,874,740",0.0209,
NGA18-6-24-1,24 Jun,2018,Jigawa,,13,,,"195,874,740",0.0066,
NGA18-6-24-1,24 Jun,2018,Kaduna,,11,,,"195,874,740",0.0056,
NGA18-6-24-1,24 Jun,2018,Kano,,110,,,"195,874,740",0.0562,
NGA18-6-24-1,24 Jun,2018,Katsina,,45,,,"195,874,740",0.0230,
NGA18-6-24-1,24 Jun,2018,Kogi,,4,,,"195,874,740",0.0020,
NGA18-6-24-1,24 Jun,2018,Plateau,,24,,,"195,874,740",0.0123,
NGA18-6-24-1,24 Jun,2018,Zamfara,,339,,,"195,874,740",0.1731,
NGA18-6-24-2,24 Jun,2018,Adamawa,,"1,412",25,1.771,"195,874,740",0.7209,0.0128
NGA18-6-24-2,24 Jun,2018,Adamawa,Mubi South ,819,12,,"195,874,740",0.4181,0.0061
NGA18-6-24-2,24 Jun,2018,Adamawa,Mubi North,565,13,,"195,874,740",0.2884,0.0066
NGA18-6-24-2,24 Jun,2018,Adamawa,Maiha,21,,,"195,874,740",0.0107,
NGA18-6-24-2,24 Jun,2018,Adamawa,Hong,7,,,"195,874,740",0.0036,
NGA18-7-1-1,1 Jul,2018,,,744,14,1.882,"195,874,740",0.3798,0.0071
NGA18-7-1-1,1 Jul,2018,Adamawa,,42,,,"195,874,740",0.0214,
NGA18-7-1-1,1 Jul,2018,Bauchi,,178,,,"195,874,740",0.0909,
NGA18-7-1-1,1 Jul,2018,Borno,,47,,,"195,874,740",0.0240,
NGA18-7-1-1,1 Jul,2018,Federal Capital Territory ,,1,,,"195,874,740",0.0005,
NGA18-7-1-1,1 Jul,2018,Gombe,,23,,,"195,874,740",0.0117,
NGA18-7-1-1,1 Jul,2018,Kaduna,,70,,,"195,874,740",0.0357,
NGA18-7-1-1,1 Jul,2018,Kano,,81,,,"195,874,740",0.0414,
NGA18-7-1-1,1 Jul,2018,Katsina,,54,,,"195,874,740",0.0276,
NGA18-7-1-1,1 Jul,2018,Kogi,,3,,,"195,874,740",0.0015,
NGA18-7-1-1,1 Jul,2018,Plateau,,10,,,"195,874,740",0.0051,
NGA18-7-1-1,1 Jul,2018,Zamfara,,235,,,"195,874,740",0.1200,
NGA18-7-8-1,8 Jul,2018,,,469,8,1.706,"195,874,740",0.2394,0.0041
NGA18-7-8-1,8 Jul,2018,Adamawa,,45,,,"195,874,740",0.0230,
NGA18-7-8-1,8 Jul,2018,Bauchi,,115,,,"195,874,740",0.0587,
NGA18-7-8-1,8 Jul,2018,Borno,,5,,,"195,874,740",0.0026,
NGA18-7-8-1,8 Jul,2018,Gombe,,7,,,"195,874,740",0.0036,
NGA18-7-8-1,8 Jul,2018,Kano,,122,,,"195,874,740",0.0623,
NGA18-7-8-1,8 Jul,2018,Katsina,,30,,,"195,874,740",0.0153,
NGA18-7-8-1,8 Jul,2018,Kogi,,16,,,"195,874,740",0.0082,
NGA18-7-8-1,8 Jul,2018,Zamfara,,129,,,"195,874,740",0.0659,
NGA18-7-15-1,15 Jul,2018,,,671,8,1.192,"195,874,740",0.3426,0.0041
NGA18-7-15-1,15 Jul,2018,Adamawa,,51,,,"195,874,740",0.0260,
NGA18-7-15-1,15 Jul,2018,Bauchi,,95,,,"195,874,740",0.0485,
NGA18-7-15-1,15 Jul,2018,Borno,,28,,,"195,874,740",0.0143,
NGA18-7-15-1,15 Jul,2018,Cross River,,2,,,"195,874,740",0.0010,
NGA18-7-15-1,15 Jul,2018,Gombe,,3,,,"195,874,740",0.0015,
NGA18-7-15-1,15 Jul,2018,Kaduna,,13,,,"195,874,740",0.0066,
NGA18-7-15-1,15 Jul,2018,Kano,,101,,,"195,874,740",0.0516,
